Sample number;Sampling year;Rock description;Link to report;Collector;Batch;Longitude;Latitude;Laboratory;Treatment year;Sample preparation abbr;Analytical method abbr;SiO2 wt%;TiO2 wt%;Al2O3 wt%;Fe2O3 wt%;Fe2O3 wt%.1;FeO wt%;MnO wt%;MgO wt%;CaO wt%;Na2O wt%;K2O wt%;P2O5 wt%;C wt%;Li ppm;Be ppm;B ppm;S ppm;Cl wt%;Sc ppm;V ppm;Cr ppm;Co ppm;Ni ppm;Cu ppm;Zn ppm;Ga ppm;Ge ppm;As ppm;Se ppm;Br ppm;Rb ppm;Sr ppm;Y ppm;Zr ppm;Nb ppm;Mo ppm;Ru ppb;Rh ppb;Pd ppb;Ag ppm;Cd ppm;In ppm;Sn ppm;Sb ppm;Te ppm;I ppm;Cs ppm;Ba ppm;La ppm;Ce ppm;Pr ppm;Nd ppm;Sm ppm;Eu ppm;Gd ppm;Tb ppm;Dy ppm;Ho ppm;Er ppm;Tm ppm;Yb ppm;Lu ppm;Hf ppm;Ta ppm;W ppm;Re ppb;Os ppb;Ir ppb;Pt ppb;Au ppb;Hg ppm;Tl ppm;Pb ppm;Bi ppm;Th ppm;U ppm
353526;1989.0;Skarn;Link;Appel, Peter;59;-49.892042;64.741962;Copenhagen University Geology;1992.0;PWD;XRF;1.6726519228400025;-0.5086383061657274;0.9708116108725178;1.1283992687178064;0.6434526764861874;0.8254261177678232;-0.24412514432750865;0.8463371121298052;1.353916230920363;-0.4881166390211256;-1.0;-1.3010299956639813;;;;;;-1.6989700043360187;1.4771212547196624;2.2600713879850747;3.144574207609616;1.9731278535996986;2.929674317948588;;2.6459132750338443;;;;;1.6720978579357175;1.3617278360175928;2.60959440922522;;1.1760912590556813;;1.1139433523068367;;;;;;;;;;;;2.3106933123433606;;;;;0.07918124604762482;;;;;;;;;;;;2.949877704036875;;;;;;;;;;;0.11394335230683679
341450;1987.0;;Link;Knudsen, Christian;7;-50.109092;69.733205;GEUS Rock Geochemical lab;;NAF;AAS;1.873843533223436;-0.3979400086720376;1.1092409685882032;;-0.8239087409443188;0.37106786227173627;-1.3979400086720375;-0.1938200260161128;-0.22914798835785583;0.615950051656401;0.13033376849500614;-1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
441037;1996.0;high-grade metamorphic chert sedimentary rock;Link;Birkedal, Nikolai;42;-43.761021;60.562531;Activation Laboratories Ltd.;1997.0;4AC;ICP;;-0.09691001300805639;1.1760912590556813;0.9666109866819343;;;-0.958607314841775;0.5976951859255123;0.8533939774506657;0.24054924828259971;0.3961993470957364;-1.0;;;0.3010299956639812;;;;1.4771212547196624;2.2380461031287955;2.230448921378274;1.380211241711606;1.5440680443502757;1.5563025007672873;2.171726453653231;;;1.7323937598229686;;;2.278753600952829;2.1931245983544616;1.2787536009528289;;;;;;;;;;;-0.6989700043360187;;;0.8450980400142568;2.8195439355418688;1.505149978319906;1.8388490907372552;;1.3424226808222062;0.785329835010767;-0.045757490560675115;;0.04139268515822508;;;;;0.43136376415898736;-0.3010299956639812;0.7781512503836436;;;;;;;;;;1.0;;1.0;0.5440680443502757
408563;1993.0;high-grade metamorphic silicic medium-grained sedimentary rock;Link;Appel, Peter;10;-49.814059;65.182654;Activation Laboratories Ltd.;1993.0;NON;INAA;;;;1.3283796034387378;;;;;;;;;;;;;;;1.6720978579357175;;2.681241237375587;1.8325089127062364;;;2.130333768495006;;;;;;;;;;;;;;;;;;;;;;;;0.6989700043360189;1.0413926851582251;;0.8450980400142568;0.3424226808222063;-0.045757490560675115;;-0.3010299956639812;;;;;0.2041199826559248;-0.5228787452803376;0.47712125471966244;;;;;;;0.9542425094393249;;;;;-0.09691001300805639;
289362;1981.0;ultramafic dyke in gneiss;Link;Steenfelt, Agnete;22;-52.873399;65.870587;Risø National Laboratory;1991.0;NON;XCD;;;;0.9726655922661109;;;-0.8860566476931632;;-0.1549019599857432;;-1.6989700043360187;;;;;;;;;;3.4847268042986617;;3.368658712392227;1.414973347970818;1.8864907251724818;0.6020599913279624;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.0
442065;1996.0;high-grade metamorphic medium-grained intermediate volcanic-sedimentary rock;Link;Ingemann, E.;42;-42.80435;60.99422;Activation Laboratories Ltd.;1996.0;4AC;ICP;;-0.16749108729376366;1.2137832993353042;0.884228769632604;;;-0.8538719643217619;0.7435097647284298;0.8228216453031046;0.5921767573958668;-0.18708664335714442;-0.8538719643217619;;;;;;;1.3010299956639813;2.2013971243204513;2.342422680822206;1.3617278360175928;1.9614210940664483;1.7708520116421442;1.9661417327390327;;;1.146128035678238;;;;2.5118833609788744;1.146128035678238;;;;;;;-0.3010299956639812;;;;0.2787536009528289;;;0.0;2.6020599913279625;1.0791812460476249;1.3010299956639813;;1.0;0.3424226808222063;-0.045757490560675115;;;;;;;0.146128035678238;-0.5228787452803376;0.47712125471966244;;;;;;;;;;;;-0.09691001300805639;
304272;1982.0;;Link;Nyegaard, Per;22;-45.50871;60.90537;Risø National Laboratory;1999.0;NON;XCD;;0.5910646070264992;;0.6148972160331346;;;-0.6777807052660807;;0.2600713879850748;;0.4668676203541095;;;;;;;;;3.8629657589777624;;;2.0253058652647704;2.290034611362518;1.9395192526186185;1.792391689498254;;;;;;3.4801507252732806;1.9637878273455553;1.968482948553935;1.7075701760979363;1.4471580313422192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0025979807199086;;;
304414;1982.0;;Link;Holm, P. E.;22;-45.55815;60.736;Risø National Laboratory;1999.0;NON;XCD;;-0.5528419686577808;;0.38021124171160603;;;-1.3979400086720375;;0.37657695705651195;;0.7604224834232121;;;;;;;;;;;;;;;1.414973347970818;;;;;2.7505083948513462;2.225309281725863;1.7481880270062005;1.8512583487190752;2.037426497940624;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0413926851582251;;;2.69196510276736
405114;1993.0;high-grade metamorphic medium-grained felsic magmatic plutonic rock;Link;Thomassen, Bjørn;42;-44.899109;60.934132;Activation Laboratories Ltd.;1993.0;4AC;ICP;;-0.6020599913279624;1.1139433523068367;1.000867721531227;;;-1.3979400086720375;-0.5228787452803376;0.5993371329924891;0.6384892569546373;0.6283889300503115;-2.0;;;;;;;0.146128035678238;1.7403626894942439;1.0;1.3617278360175928;1.0791812460476249;2.5646660642520893;2.1122697684172707;;;0.146128035678238;;;1.9912260756924949;2.8102325179950842;0.7781512503836436;;;0.6989700043360189;;;;;;;;-0.3979400086720376;;;;3.3010299956639813;1.1139433523068367;1.414973347970818;;0.9542425094393249;0.17609125905568124;-0.2218487496163564;;;;;;;0.17609125905568124;-0.5228787452803376;1.0413926851582251;;;;;;;;;;1.1139433523068367;;0.5563025007672873;0.5797835966168101
404751;1993.0;high-grade metamorphic magmatic rock;Link;Stendal, Henrik;42;-44.996922;60.538498;Activation Laboratories Ltd.;1993.0;4AC;ICP;;-0.2006594505464183;0.9717395908877783;0.6884198220027106;;;-1.0;0.08990511143939793;0.4174716932032931;0.28103336724772754;0.21748394421390627;-0.5086383061657274;;;0.7781512503836436;;;;1.0413926851582251;1.5185139398778875;0.9030899869919435;0.6989700043360189;1.146128035678238;1.1760912590556813;2.2041199826559246;;;;;;1.7993405494535817;2.3483048630481607;1.0791812460476249;;;0.47712125471966244;;;;-0.045757490560675115;;;;-0.3979400086720376;;;1.0791812460476249;2.929418925714293;1.0791812460476249;1.380211241711606;;1.0791812460476249;0.3424226808222063;0.0;;;;;;;0.11394335230683679;-0.6989700043360187;0.3010299956639812;-0.1549019599857432;0.3010299956639812;;;;;;;;;;0.2304489213782739;0.2041199826559248
