Details;Sampleno;Sampling year;Grain size micron;Longitude;Latitude;Elevation;Coordinate method;Collector;Treatmentyears;Laboratorynames;SiO2 wt%;TiO2 wt%;Al2O3 wt%;Fe2O3t wt%;Fe2O3 wt%;MnO wt%;MgO wt%;CaO wt%;Na2O wt%;K2O wt%;P2O5 wt%;Sum wt%;L.o.i. wt%;FeO wt%;Ag ppm;Al %;As ppm;Ba ppm;Be ppm;Bi ppm;Ca %;Cd ppm;Co ppm;Cr ppm;Cu ppm;Fe %;Hf ppm;K %;Li ppm;Mg %;Mn ppm;Mo ppm;Na %;Nb ppm;Ni ppm;P %;Pb ppm;Rb ppm;S %;Sb ppm;Sn ppm;Sr ppm;Ta ppm;Th ppm;Ti %;U ppb;V ppm;W ppm;Zn ppm;Zr ppm;Sc ppm;Y ppm;La ppm;Ce ppm;Au ppb;Br ppm;Cs ppm;Hg ppm;Ir ppb;Se ppm;U ppm;Nd ppm;Sm ppm;Eu ppm;Tb ppm;Yb ppm;Lu ppm;Pd ppb;Pt ppb;Ga ppm;Ge ppm;In ppm;Tl ppm;Pr ppm;Gd ppm;Dy ppm;Ho ppm;Er ppm;Tm ppm;Mn %;S ppm;Au ppm;Ir ppm;Sn %;Sr %;B ppm;Pd ppm;Pt ppm;Re ppm;Te ppm;Si %;Fe ppm;Cl %;geo_magnetic_anomaly nT;geo_heat_flow mW/m2;geo_depth_to_moho km
Link;100221;1971;0-150;-24.12412;72.17929;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.19589965240923377;;;;1.0413926851582251;0.5224442335063199;;0.4727564493172124;;;2.673020907128896;;;;;;1.5314789170422551;;;;;;;;-0.17392519729917355;;;;1.845098040014257;;;;;;;;;;;;0.6532125137753437;;;;;;;;;0.9030899869919435;;;;;;;;;;;;;;;;;;;;;;;;-212.94456481933594;46.35755;22.9
Link;100222;1971;0-150;-24.10412;72.18403;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.02530586526477026;;;;1.146128035678238;0.5276299008713387;;0.48000694295715063;;;2.6570558528571038;;;;;;1.5563025007672873;;;;;;;;-0.1549019599857432;;0.6020599913279624;;1.8388490907372552;;;;;;;;;;;;0.785329835010767;;;;;;;;;1.146128035678238;;;;;;;;;;;;;;;;;;;;;;;;-213.19834899902344;46.35755;22.9
Link;100223;1971;0-150;-24.10854;72.19261;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.04139268515822508;;;;1.2787536009528289;0.5314789170422551;;0.46834733041215726;;;2.6334684555795866;;;;0.6989700043360189;;1.9030899869919435;;;;;;;;-0.10237290870955855;;1.9084850188786497;;2.27415784926368;;;;;;;;;;;;0.6901960800285137;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;-210.5037384033203;46.35755;22.9
Link;100224;1971;0-150;-24.10595;72.19869;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.2528530309798932;;;1.7708520116421442;1.505149978319906;0.5634810853944107;;0.4099331233312945;;;2.6766936096248664;;;;0.3010299956639812;;1.5797835966168101;;;;;;;;0.10720996964786837;;2.037426497940624;;1.8573324964312685;;;;;;;;;;;;1.146128035678238;;;;;;;;;1.2787536009528289;;;;;;;;;;;;;;;;;;;;;;;;-209.07936096191406;46.35755;23.0
Link;100225;1971;0-150;-24.08592;72.16826;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.004321373782642578;;;;0.6020599913279624;0.5211380837040362;;0.46834733041215726;;;2.574031267727719;;;;;;1.5185139398778875;;;;;;;;-0.18708664335714442;;1.5797835966168101;;1.7853298350107671;;;;;;;;;;;;0.8061799739838872;;;;;;;;;0.9030899869919435;;;;;;;;;;;;;;;;;;;;;;;;-219.89891052246094;46.35755;22.6
Link;100226;1971;0-150;-24.08271;72.16652;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.12057393120584989;;;;1.0;0.4941545940184428;;0.46982201597816303;;;2.5575072019056577;;;;;;1.5314789170422551;;;;;;;;-0.3010299956639812;;1.414973347970818;;1.724275869600789;;;;;;;;;;;;0.7403626894942439;;;;;;;;;0.7781512503836436;;;;;;;;;;;;;;;;;;;;;;;;-220.7366180419922;46.35755;22.6
Link;100227;1971;0-150;-24.06521;72.16176;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.4132997640812518;;;;1.0413926851582251;0.4440447959180762;;0.5037906830571811;;;2.5575072019056577;;;;0.3010299956639812;;1.505149978319906;;;;;;;;-0.3010299956639812;;0.47712125471966244;;1.6901960800285136;;;;;;;;;;;;0.7403626894942439;;;;;;;;;0.6020599913279624;;;;;;;;;;;;;;;;;;;;;;;;-225.32032775878906;46.35755;22.6
Link;100228;1971;0-150;-24.05607;72.15938;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.49554433754644844;;;;1.0413926851582251;0.5514499979728752;;0.5599066250361125;;;2.519827993775719;;;;;;1.5563025007672873;;;;;;;;-0.24412514432750865;;1.7323937598229686;;1.8260748027008264;;;;;;;;;;;;0.8750612633917001;;;;;;;;;1.0413926851582251;;;;;;;;;;;;;;;;;;;;;;;;-226.82164001464844;46.35755;22.4
Link;100229;1971;0-150;-24.05097;72.15898;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.526339277389844;;;1.6720978579357175;1.380211241711606;0.5237464668115644;;0.541579243946581;;;2.534026106056135;;;;;;1.568201724066995;;;;;;;;-0.13076828026902382;;2.1818435879447726;;1.7853298350107671;;;;;;;;;;;;1.2041199826559248;;;;;;;;;1.255272505103306;;;;;;;;;;;;;;;;;;;;;;;;-226.82164001464844;46.35755;22.4
Link;100230;1971;0-150;-24.04461;72.15899;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.6848453616444125;;;;1.1760912590556813;0.4487063199050799;;0.39093510710337914;;;2.5477747053878224;;;;;;1.4913616938342726;;;;;;;;-0.10237290870955855;;1.4471580313422192;;1.662757831681574;;;;;;;;;;;;0.8388490907372553;;;;;;;;;1.1139433523068367;;;;;;;;;;;;;;;;;;;;;;;;-227.9952392578125;46.35755;22.4
