Sample number;Sampling year;Rock description;Link to report;Collector;Batch;Longitude;Latitude;Laboratory;Treatment year;Sample preparation abbr;Analytical method abbr;SiO2 wt%;TiO2 wt%;Al2O3 wt%;Fe2O3 wt%;Fe2O3 wt%;FeO wt%;MnO wt%;MgO wt%;CaO wt%;Na2O wt%;K2O wt%;P2O5 wt%;C wt%;Li ppm;Be ppm;B ppm;S ppm;Cl wt%;Sc ppm;V ppm;Cr ppm;Co ppm;Ni ppm;Cu ppm;Zn ppm;Ga ppm;Ge ppm;As ppm;Se ppm;Br ppm;Rb ppm;Sr ppm;Y ppm;Zr ppm;Nb ppm;Mo ppm;Ru ppb;Rh ppb;Pd ppb;Ag ppm;Cd ppm;In ppm;Sn ppm;Sb ppm;Te ppm;I ppm;Cs ppm;Ba ppm;La ppm;Ce ppm;Pr ppm;Nd ppm;Sm ppm;Eu ppm;Gd ppm;Tb ppm;Dy ppm;Ho ppm;Er ppm;Tm ppm;Yb ppm;Lu ppm;Hf ppm;Ta ppm;W ppm;Re ppb;Os ppb;Ir ppb;Pt ppb;Au ppb;Hg ppm;Tl ppm;Pb ppm;Bi ppm;Th ppm;U ppm
329072;1983;;Link;Appel, Peter;65;-51.619242;64.154835;Risø National Laboratory;1991;NON;XPU;;0.22;;13.8;;;0.25;;17.41;;0.27;;;;;;;;;0;246;;784;172;922;105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;344;;;
329072;1983;;Link;Appel, Peter;7;-51.619242;64.154835;GEUS Rock Geochemical lab;;NAF;AAS;;;;;;;;;;0.61;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329072;1983;;Link;Appel, Peter;7;-51.619242;64.154835;GEUS Rock Geochemical lab;;NAF;TIT;;;;;;9.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329072;1983;;Link;Appel, Peter;7;-51.619242;64.154835;GEUS Rock Geochemical lab;;NAF;XRF;47.33;0.14;6.75;;0.53;;0.23;10.24;16.01;;0.14;0.3;;;;;;;;-1;-1;;-1;;-1;;;;;;-1;-1;;-1;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329072;1983;;Link;Appel, Peter;7;-51.619242;64.154835;GEUS Rock Geochemical lab;;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329996;1987;;Link;Appel, Peter;7;-49.975012;64.729421;GEUS Rock Geochemical lab;1990;NAF;AAS;;;;;;;;;;0.11;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329996;1987;;Link;Appel, Peter;7;-49.975012;64.729421;GEUS Rock Geochemical lab;1990;NAF;TIT;;;;;;7.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329996;1987;;Link;Appel, Peter;7;-49.975012;64.729421;GEUS Rock Geochemical lab;1990;NAF;XRF;38.65;1.46;4.13;;10.25;;0.3;19.59;10.81;;0.42;0.07;;;;;;;;151;1046;;1225;;120;;;;;;43;929;;0;;;;;;;;;;;;;;242;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329996;1987;;Link;Appel, Peter;7;-49.975012;64.729421;GEUS Rock Geochemical lab;1990;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
339552;1987;;Link;Garde, Adam A.;10;-51.971603;64.732315;Activation Laboratories Ltd.;1991;NON;INAA;;;;2.32;;;;;4.2;3.94;;;;;;;;;2.6;;0;47;0;;0;;;0;0;0;0;500;;;;0;;;;0;;;0;0;;;0;300;9;14;;8;0.6;0.6;;0;;;;;0;0.1;5;0;370;;;0;;0;0;;;;0;0
339552;1987;;Link;Garde, Adam A.;7;-51.971603;64.732315;GEUS Rock Geochemical lab;;NAF;AAS;;;;;;;;;;4.1;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
339552;1987;;Link;Garde, Adam A.;7;-51.971603;64.732315;GEUS Rock Geochemical lab;;NAF;TIT;;;;;;1.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
339552;1987;;Link;Garde, Adam A.;7;-51.971603;64.732315;GEUS Rock Geochemical lab;;NAF;XRF;72.18;0.51;14.98;;0;;0.04;0.82;3.98;;0.38;0.1;;;;;;;;-1;-1;;-1;;-1;;;;;;-1;-1;;-1;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
339552;1987;;Link;Garde, Adam A.;7;-51.971603;64.732315;GEUS Rock Geochemical lab;;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70005;1963;;Link;Kalsbeek, Feiko;9;-49.25999;61.54788;Copenhagen University Geology;1993;PWD;XRF;;;;;;;;;;;;;;;;;;;25;315.6;13.9;43;20.7;60.6;140.6;26;;;;;43.6;448.8;51.9;352.9;79.2;;;;;;;;;;;;;581.7;62.3;124.7;;63.5;;;;;;;;;;;;;;;;;;;;;8.1;;6;
70005;1963;;Link;Kalsbeek, Feiko;7;-49.25999;61.54788;GEUS Rock Geochemical lab;1993;NAF;AAS;;;;;;;;;;3;;;;;;;;;;;;;;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70005;1963;;Link;Kalsbeek, Feiko;7;-49.25999;61.54788;GEUS Rock Geochemical lab;1993;NAF;TIT;;;;;;10.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70005;1963;;Link;Kalsbeek, Feiko;7;-49.25999;61.54788;GEUS Rock Geochemical lab;1993;NAF;XRF;48.39;3.9;13.05;;4.91;;0.23;4.31;8.66;;1.59;0.66;;;;;;;;314.5;12.9;;18.3;;164.7;;;;;;100.4;398;;429;;;;;;;;;;;;;;429;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70005;1963;;Link;Kalsbeek, Feiko;7;-49.25999;61.54788;GEUS Rock Geochemical lab;1993;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
293575;1982;;Link;Appel, Peter;59;-51.652089;63.782612;Copenhagen University Geology;1992;PWD;XRF;;;;;;;;;;;;;;;;;;-1;-1;15;19;15;-1;14;202;27;-1;;;-10000;-1;-1;-1;-1;-1;87;;;;;;;36;;;-10000;-10000;1;-10000;-10000;;-10000;;;;;;;;;;;;;16;;;;;;;;4;;-1;
293575;1982;;Link;Appel, Peter;61;-51.652089;63.782612;Risø National Laboratory;1991;NON;XCD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;45;417;26;133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
293575;1982;;Link;Appel, Peter;62;-51.652089;63.782612;Risø National Laboratory;1991;NON;DNC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.9
