Sample number;Sampling year;Rock description;Link to report;Collector;Batch;Longitude;Latitude;Laboratory;Treatment year;Sample preparation abbr;Analytical method abbr;SiO2 wt%;TiO2 wt%;Al2O3 wt%;Fe2O3 wt%;Fe2O3 wt%;FeO wt%;MnO wt%;MgO wt%;CaO wt%;Na2O wt%;K2O wt%;P2O5 wt%;C wt%;Li ppm;Be ppm;B ppm;S ppm;Cl wt%;Sc ppm;V ppm;Cr ppm;Co ppm;Ni ppm;Cu ppm;Zn ppm;Ga ppm;Ge ppm;As ppm;Se ppm;Br ppm;Rb ppm;Sr ppm;Y ppm;Zr ppm;Nb ppm;Mo ppm;Ru ppb;Rh ppb;Pd ppb;Ag ppm;Cd ppm;In ppm;Sn ppm;Sb ppm;Te ppm;I ppm;Cs ppm;Ba ppm;La ppm;Ce ppm;Pr ppm;Nd ppm;Sm ppm;Eu ppm;Gd ppm;Tb ppm;Dy ppm;Ho ppm;Er ppm;Tm ppm;Yb ppm;Lu ppm;Hf ppm;Ta ppm;W ppm;Re ppb;Os ppb;Ir ppb;Pt ppb;Au ppb;Hg ppm;Tl ppm;Pb ppm;Bi ppm;Th ppm;U ppm
329644;1985;;Link;Appel, Peter;55;-51.635603;63.772863;Bondar-Clegg and Co. Ltd.;1991;NON;INAA;;;;17.16;;;;;;2.16;;;;;;;;;-1;;270;53;160;;0;;;0;0;-1;-1;;;-1;;0;;;;0;0;;-1;0;-1;;-1;680;8;-1;;;-1;-1;;-1;;;;;-1;-1;13;0;0;;;0;;0;;;;;0;0.9
329644;1985;;Link;Appel, Peter;7;-51.635603;63.772863;GEUS Rock Geochemical lab;;NAF;AAS;;;;;;;;;;1.85;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329644;1985;;Link;Appel, Peter;7;-51.635603;63.772863;GEUS Rock Geochemical lab;;NAF;TIT;;;;;;11.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329644;1985;;Link;Appel, Peter;7;-51.635603;63.772863;GEUS Rock Geochemical lab;;NAF;XRF;44.94;1.89;18.65;;2.5;;0.21;6.75;7.93;;1.29;0.14;;;;;;;;-1;-1;;-1;;-1;;;;;;-1;-1;;-1;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329644;1985;;Link;Appel, Peter;7;-51.635603;63.772863;GEUS Rock Geochemical lab;;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329804;1985;;Link;Appel, Peter;56;-50.97943;64.1776;Bondar-Clegg and Co. Ltd.;1991;PWD;XRF;;;;;;;;;;;;;;;;;;;;;-1;;;;;;-1;;;;-1;;;-1;-1;;;;;;;;36;-1;;;;-1;-1;-1;;;;;;;;;;;;;;-1;;;;;;;;;;;-1;
329804;1985;;Link;Appel, Peter;59;-50.97943;64.1776;Copenhagen University Geology;1992;PWD;XRF;;;;;;;;;;;;;;;;;;0;-10000;-10000;-10000;-10000;-10000;-10000;-10000;-10000;-10000;;;0;-10000;-10000;-10000;-10000;-10000;-10000;;;;;;;-10000;;;-10000;-10000;-10000;-10000;-10000;;-10000;;;;;;;;;;;;;-10000;;;;;;;;-10000;;-10000;
329804;1985;;Link;Appel, Peter;55;-50.97943;64.1776;Bondar-Clegg and Co. Ltd.;1991;NON;INAA;;;;51.47;;;;;;0.22;;;;;;;;;-1;;0;0;0;;3200;;;0;160;-1;-1;;;-1;;0;;;;0;0;;-1;0;-1;;-1;0;0;-1;;;-1;-1;;-1;;;;;-1;-1;0;0;0;;;0;;0;;;;;0.6;0
329804;1985;;Link;Appel, Peter;7;-50.97943;64.1776;GEUS Rock Geochemical lab;;NAF;AAS;;;;;;;;;;0.07;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329804;1985;;Link;Appel, Peter;7;-50.97943;64.1776;GEUS Rock Geochemical lab;;NAF;TIT;;;;;;30.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329804;1985;;Link;Appel, Peter;7;-50.97943;64.1776;GEUS Rock Geochemical lab;;NAF;XRF;32.13;0.1;2.42;;12.94;;0.15;16.09;0.36;;0.11;0.01;;;;;;;;-1;-1;;-1;;-1;;;;;;-1;-1;;-1;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329804;1985;;Link;Appel, Peter;7;-50.97943;64.1776;GEUS Rock Geochemical lab;;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329949;1987;;Link;Appel, Peter;10;-51.553127;64.186492;Activation Laboratories Ltd.;1991;NON;INAA;;;;2.77;;;;;0;0.42;;;;;;;;;3.1;;0;10;0;;92;;;0;0;2;100;0;;;;0;;;;0;;;0;0.9;;;31;260;31;64;;29;8.1;1.8;;2.5;;;;;12.3;1.8;13;9;100;;;0;;0;0;;;;6.7;3.6
329949;1987;;Link;Appel, Peter;7;-51.553127;64.186492;GEUS Rock Geochemical lab;;NAF;AAS;;;;;;;;;;0.13;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329949;1987;;Link;Appel, Peter;7;-51.553127;64.186492;GEUS Rock Geochemical lab;;NAF;TIT;;;;;;2.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329949;1987;;Link;Appel, Peter;7;-51.553127;64.186492;GEUS Rock Geochemical lab;;NAF;XRF;72.72;0.22;11.45;;1.62;;0.03;4.8;0.21;;1.77;0.05;;;;;;;;4;0;;23;;159;;;;;;104;24;;0;;;;;;;;;;;;;;362;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329949;1987;;Link;Appel, Peter;7;-51.553127;64.186492;GEUS Rock Geochemical lab;;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
297710;1980;;Link;Woollet, A.;22;-46.31199;60.96872;Risø National Laboratory;1999;NON;XCD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;0;0;39;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
297710;1980;;Link;Woollet, A.;21;-46.31199;60.96872;Risø National Laboratory;1999;NON;DNC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.3
297710;1980;;Link;Woollet, A.;20;-46.31199;60.96872;Risø National Laboratory;1999;NON;GAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1100
297710;1980;;Link;Woollet, A.;18;-46.31199;60.96872;Risø National Laboratory;1999;NON;XPU;;0.1;;1.74;;;0.01;;0.14;;0.94;;;;;;;;;0;0;;20;19;41;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;389;;;
360994;1991;high-grade metamorphic medium-grained felsic siliceous magmatic plutonic rock grey gneiss;Link;Steenfelt, Agnete;9;-50.41916;70.180518;Copenhagen University Geology;1992;PWD;XRF;;;;;;;;;;;;;;;;;;;4.6;28.2;20.5;4.8;7.8;5.3;69.1;16.7;;;;;100;149.8;8.4;147.9;6.8;;;;;;;;;;;;;307;30.6;52.2;;20.1;;;;;;;;;;;;;;;;;;;;;16.4;;10.8;
360994;1991;high-grade metamorphic medium-grained felsic siliceous magmatic plutonic rock grey gneiss;Link;Steenfelt, Agnete;4;-50.41916;70.180518;Activation Laboratories Ltd.;1991;NON;INAA;;;;2.23;;;;;0;3.94;;;;;;;;;3.7;;0;0;0;;78;;;0;0;0;67;0;;;;0;;;;0;;;0;0;;;0;210;25;42;;14;2.6;0.5;;0;;;;;0.4;0.1;4;0;0;;;0;;0;0;;;;7.2;0.8
360994;1991;high-grade metamorphic medium-grained felsic siliceous magmatic plutonic rock grey gneiss;Link;Steenfelt, Agnete;5;-50.41916;70.180518;Activation Laboratories Ltd.;1992;LIF;XRF;71.84;0.28;14.5;;2.6;;0.03;0.67;2.66;4.38;2.03;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
360994;1991;high-grade metamorphic medium-grained felsic siliceous magmatic plutonic rock grey gneiss;Link;Steenfelt, Agnete;5;-50.41916;70.180518;Activation Laboratories Ltd.;1992;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
297830;1980;;Link;Armour-Brown, Ashlyn;22;-45.42888;60.9563;Risø National Laboratory;1999;NON;XCD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;332;1895;262;2918;1854;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
297830;1980;;Link;Armour-Brown, Ashlyn;21;-45.42888;60.9563;Risø National Laboratory;1999;NON;DNC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.6
297830;1980;;Link;Armour-Brown, Ashlyn;20;-45.42888;60.9563;Risø National Laboratory;1999;NON;GAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;131;50.5
297830;1980;;Link;Armour-Brown, Ashlyn;18;-45.42888;60.9563;Risø National Laboratory;1999;NON;XPU;;1.1;;14.61;;;0.62;;1.92;;3.13;;;;;;;;;28;311;;73;95;485;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86;;;
333651;1986;;Link;Kalvig, Per;55;-47.88038;61.00842;Bondar-Clegg and Co. Ltd.;1991;NON;INAA;;;;32.88;;;;;;;;;;;;;;;31;;110;41;63;;0;;;105;0;-1;27;;;-1;;0;;;;0;0;;-1;0.8;-1;;11;420;7;-1;;;-1;0;;0;;;;;0;-1;0;0;0;;;0;;29;;;;;0;0.5
278807;1981;;Link;Garde, Adam A.;10;-51.185699;64.909173;Activation Laboratories Ltd.;1991;NON;INAA;;;;1.92;;;;;0;4.57;;;;;;;;;3.2;;0;40;0;;0;;;0;0;0;37;0;;;;0;;;;0;;;0;0;;;0;390;16;20;;11;1;0.6;;0;;;;;0;0;0;0;330;;;0;;29;0;;;;0;0
278807;1981;;Link;Garde, Adam A.;7;-51.185699;64.909173;GEUS Rock Geochemical lab;;NAF;AAS;;;;;;;;;;4.83;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
278807;1981;;Link;Garde, Adam A.;7;-51.185699;64.909173;GEUS Rock Geochemical lab;;NAF;TIT;;;;;;1.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
278807;1981;;Link;Garde, Adam A.;7;-51.185699;64.909173;GEUS Rock Geochemical lab;;NAF;XRF;69.8;0.41;15.81;;0.37;;0.01;0.93;3.04;;1.6;0.08;;;;;;;;-1;-1;;-1;;-1;;;;;;-1;-1;;-1;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
278807;1981;;Link;Garde, Adam A.;7;-51.185699;64.909173;GEUS Rock Geochemical lab;;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
351701;1991;;Link;Stendal, Henrik;41;-50.322788;69.968661;Activation Laboratories Ltd.;1992;AQR;ICP;;;;;;;0.01;;;;;;;;;;;;;;;;27;13;16;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;
351701;1991;;Link;Stendal, Henrik;10;-50.322788;69.968661;Activation Laboratories Ltd.;1992;NON;INAA;;;;5.28;;;;;1.4;5.31;;;;;;;;;6.5;;65;20;0;;0;;;7;0;0;46;0;;;;0;;;;0;;;0;1.8;;;0;250;27;49;;21;3.3;0.8;;0.8;;;;;2.2;0.4;9;2;52;;;0;;0;0;;;;15;2
405139;1993;high-grade metamorphic medium-grained mafic rock;Link;Thomassen, Bjørn;42;-44.830559;60.789371;Activation Laboratories Ltd.;1993;4AC;ICP;;0.5;12.39;;;;0.13;8.89;7.43;;2.64;0.19;;;0;;;;;108;;;145;6;113;;;;;;;559;14;;;-10000;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;
405139;1993;high-grade metamorphic medium-grained mafic rock;Link;Thomassen, Bjørn;10;-44.830559;60.789371;Activation Laboratories Ltd.;1993;NON;INAA;;;;7.78;;;;;7;1.87;;;;;;;;;22;;710;31;200;;159;;;0;0;0;54;0;;;;2;;;;0;;;0;0.1;;;0;1100;24;48;;21;4.2;1.4;;0;;;;;1.7;0.2;3;0;0;;;0;;0;0;;;;3.4;1.7
343607;1986;;Link;Appel, Peter;55;-51.561371;64.184042;Bondar-Clegg and Co. Ltd.;1991;NON;INAA;;;;6.72;;;;;;;;;;;;;;;10;;0;11;0;;0;;;0;0;-1;0;;;-1;;3;;;;0;0;;-1;0;-1;;2;0;36;-1;;;-1;0;;4;;;;;11;-1;13;1;32;;;0;;0;;;;;6.1;1.8
343607;1986;;Link;Appel, Peter;10;-51.561371;64.184042;Activation Laboratories Ltd.;1991;NON;INAA;;;;6.26;;;;;0;0.35;;;;;;;;;12;;16;9;0;;120;;;0;0;0;0;0;;;;0;;;;0;;;0;0;;;0;0;33;74;;44;11;2.3;;2.8;;;;;13.6;1.8;15;0;27;;;0;;0;0;;;;5.3;0
431663;1995;high-grade metamorphic medium-grained mafic rock;Link;Manatschal, Gianreto;7;-50.658931;67.834569;GEUS Rock Geochemical lab;1996;NAF;AAS;;;;;;;;;;2.95;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
431663;1995;high-grade metamorphic medium-grained mafic rock;Link;Manatschal, Gianreto;7;-50.658931;67.834569;GEUS Rock Geochemical lab;1996;NAF;TIT;;;;;;8.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
431663;1995;high-grade metamorphic medium-grained mafic rock;Link;Manatschal, Gianreto;7;-50.658931;67.834569;GEUS Rock Geochemical lab;1996;NAF;XRF;50.05;0.79;15.08;;1.72;;0.17;6.69;11.05;;1.62;0.27;;;;;;;;265.5;150.7;;47.6;;93.6;;;;;;61.8;606.2;;91;;;;;;;;;;;;;;662;;;;;;;;;;;;;;;;;;;;;;;;;;;;
431663;1995;high-grade metamorphic medium-grained mafic rock;Link;Manatschal, Gianreto;7;-50.658931;67.834569;GEUS Rock Geochemical lab;1996;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
297804;1980;;Link;Armour-Brown, Ashlyn;22;-45.55946;60.91866;Risø National Laboratory;1999;NON;XCD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;178;207;24;128;14;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
297804;1980;;Link;Armour-Brown, Ashlyn;21;-45.55946;60.91866;Risø National Laboratory;1999;NON;DNC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.3
297804;1980;;Link;Armour-Brown, Ashlyn;20;-45.55946;60.91866;Risø National Laboratory;1999;NON;GAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.8;53.3
297804;1980;;Link;Armour-Brown, Ashlyn;18;-45.55946;60.91866;Risø National Laboratory;1999;NON;XPU;;0.78;;13.01;;;0.27;;9.67;;0.87;;;;;;;;;24;546;;85;21;149;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;
263609;1982;;Link;Appel, Peter;59;-50.038549;64.71626;Copenhagen University Geology;1992;PWD;XRF;;;;;;;;;;;;;;;;;;-1;-1;-1;-1;-1;130;57;60;12;-1;;;-10000;92;87;9;47;2.9;-1;;;;;;;-1;;;-10000;-10000;-1;-10000;-10000;;-10000;;;;;;;;;;;;;-1;;;;;;;;10;;0;
263609;1982;;Link;Appel, Peter;55;-50.038549;64.71626;Bondar-Clegg and Co. Ltd.;1991;NON;INAA;;;;40.03;;;;;;;;;;;;;;;27;;120;160;200;;0;;;0;55;-1;130;;;-1;;10;;;;0;0;;-1;0;-1;;3;5800;0;-1;;;-1;0;;0;;;;;0;-1;0;0;9;;;0;;0;;;;;0;0
263609;1982;;Link;Appel, Peter;7;-50.038549;64.71626;GEUS Rock Geochemical lab;;NAF;AAS;;;;;;;;;;2.05;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
263609;1982;;Link;Appel, Peter;7;-50.038549;64.71626;GEUS Rock Geochemical lab;;NAF;XRF;26.89;0.82;10.15;;35.34;;0.02;1.01;1.43;;1.82;0.07;;;;;;;;-1;-1;;-1;;-1;;;;;;-1;-1;;-1;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
263609;1982;;Link;Appel, Peter;7;-50.038549;64.71626;GEUS Rock Geochemical lab;;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
406535;1992;high-grade metamorphic mud silicic medium-grained intermediate sedimentary rock;Link;Appel, Peter;10;-43.350121;60.926998;Activation Laboratories Ltd.;1992;NON;INAA;;;;8.89;;;;;0;2.18;;;;;;;;;13;;78;13;0;;464;;;15;0;0;110;0;;;;0;;;;0;;;0;0.3;;;5;320;40;70;;25;4.8;1.2;;0.9;;;;;2.9;0.5;5;1;0;;;0;;0;0;;;;14;5.2
341463;1987;;Link;Knudsen, Christian;59;-50.058506;69.735875;Copenhagen University Geology;1990;PWD;XRF;;;;;;;;;;;;;;;;;;-1;3;6;5;31;5;8;16;19;-10000;;;-10000;66;94;6;68;7.1;-10000;;;;;;;-10000;;;-10000;-10000;514;20;38;;14;;;;;;;;;;;;;-10000;;;;;;;;5;;13;
341463;1987;;Link;Knudsen, Christian;7;-50.058506;69.735875;GEUS Rock Geochemical lab;;NAF;AAS;;;;;;;;;;4.01;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341463;1987;;Link;Knudsen, Christian;7;-50.058506;69.735875;GEUS Rock Geochemical lab;;NAF;TIT;;;;;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341463;1987;;Link;Knudsen, Christian;7;-50.058506;69.735875;GEUS Rock Geochemical lab;;NAF;XRF;77.37;0.11;12.92;;0.37;;0.03;0.18;0.69;;1.95;0.06;;;;;;;;-1;-1;;-1;;-1;;;;;;-1;-1;;-1;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341463;1987;;Link;Knudsen, Christian;7;-50.058506;69.735875;GEUS Rock Geochemical lab;;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
353200;1987;;Link;Appel, Peter;59;-49.885122;64.737548;Copenhagen University Geology;1992;PWD;XRF;;;;;;;;;;;;;;;;;;-1;-1;-1;-1;-1;741;40;662;24;-1;;;-10000;0;84;13;65;52;-1;;;;;;;-1;;;-10000;-10000;-1;-10000;-10000;;-10000;;;;;;;;;;;;;-1;;;;;;;;0;;0;
353200;1987;;Link;Appel, Peter;7;-49.885122;64.737548;GEUS Rock Geochemical lab;;NAF;AAS;;;;;;;;;;0.13;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
353200;1987;;Link;Appel, Peter;7;-49.885122;64.737548;GEUS Rock Geochemical lab;;NAF;TIT;;;;;;9.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
353200;1987;;Link;Appel, Peter;7;-49.885122;64.737548;GEUS Rock Geochemical lab;;NAF;XRF;46.18;1.16;5.26;;0.82;;0.37;6.69;27.02;;0.01;0.16;;;;;;;;96;646;;823;;884;;;;;;18;57;;0;;;;;;;;;;;;;;121;;;;;;;;;;;;;;;;;;;;;;;;;;;;
353200;1987;;Link;Appel, Peter;7;-49.885122;64.737548;GEUS Rock Geochemical lab;;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407864;1996;high-grade metamorphic medium-grained mafic magmatic hypabyssal rock;Link;Appel, Peter;42;-49.8;65.156944;Activation Laboratories Ltd.;1996;4AC;ICP;;0.32;2.59;;;;0.33;10.68;29.38;;0.08;0.02;;;0;;;;;91;;;813;30;165;;;;;;;35;12;;;0;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;0;;
407864;1996;high-grade metamorphic medium-grained mafic magmatic hypabyssal rock;Link;Appel, Peter;10;-49.8;65.156944;Activation Laboratories Ltd.;1996;NON;INAA;;;;12.44;;;;;25.19;0.2;;;;;;;;;19;;1600;86;810;;176;;;10;0;24;0;0;;;;0;;;;0;;;0;0.3;;;0;200;2.5;8;;5;1.3;0.5;;0;;;;;0.8;0.1;0;0;0;;;0;;13;0;;;;0;0
341420;1987;;Link;Knudsen, Christian;55;-50.998178;69.759867;Bondar-Clegg and Co. Ltd.;1991;NON;INAA;;;;8.44;;;;;;2.7;;;;;;;;;20;;0;56;0;;140;;;0;0;0;42;;;0;;2;;;;0;0;;0;0;0;;1;95;19;34;;;3.8;0;;1;;;;;3;0.4;3;1;270;;;0;;6;;;;;3.5;1.3
341420;1987;;Link;Knudsen, Christian;7;-50.998178;69.759867;GEUS Rock Geochemical lab;;NAF;AAS;;;;;;;;;;2.41;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341420;1987;;Link;Knudsen, Christian;7;-50.998178;69.759867;GEUS Rock Geochemical lab;;NAF;TIT;;;;;;4.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341420;1987;;Link;Knudsen, Christian;7;-50.998178;69.759867;GEUS Rock Geochemical lab;;NAF;XRF;63.15;0.77;13.65;;1.61;;0.12;2.23;8.15;;1;0.18;;;;;;;;-1;-1;;-1;;-1;;;;;;-1;-1;;-1;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341420;1987;;Link;Knudsen, Christian;7;-50.998178;69.759867;GEUS Rock Geochemical lab;;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
343479;1986;;Link;Appel, Peter;55;-50.854959;63.617775;Bondar-Clegg and Co. Ltd.;1991;NON;INAA;;;;11.72;;;;;;;;;;;;;;;7.3;;0;110;0;;0;;;1;0;-1;0;;;-1;;0;;;;0;0;;-1;0.3;-1;;0;0;37;-1;;;-1;0;;0;;;;;0;-1;2;0;9;;;0;;0;;;;;5.2;6.7
343485;1986;;Link;Appel, Peter;55;-50.995852;63.527653;Bondar-Clegg and Co. Ltd.;1991;NON;INAA;;;;10.58;;;;;;;;;;;;;;;18;;180;33;94;;0;;;2;0;-1;62;;;-1;;5;;;;0;0;;-1;0;-1;;0;130;23;-1;;;-1;0;;0;;;;;0;-1;3;0;5;;;0;;16;;;;;4.2;1.1
343485;1986;;Link;Appel, Peter;7;-50.995852;63.527653;GEUS Rock Geochemical lab;;NAF;AAS;;;;;;;;;;4.16;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
343485;1986;;Link;Appel, Peter;7;-50.995852;63.527653;GEUS Rock Geochemical lab;;NAF;XRF;54.38;0.76;17.7;;10.31;;0.02;2.09;3.97;;1.89;0.09;;;;;;;;-1;-1;;-1;;-1;;;;;;-1;-1;;-1;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
343485;1986;;Link;Appel, Peter;7;-50.995852;63.527653;GEUS Rock Geochemical lab;;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
343508;1986;;Link;Appel, Peter;55;-50.961206;63.532539;Bondar-Clegg and Co. Ltd.;1991;NON;INAA;;;;11.29;;;;;;;;;;;;;;;55.7;;290;67;150;;0;;;0;0;-1;0;;;-1;;0;;;;0;0;;-1;0;-1;;0;0;0;-1;;;-1;2;;0;;;;;0;-1;2;0;7;;;0;;0;;;;;0;0
339527;1987;;Link;Garde, Adam A.;10;-52.159514;64.669782;Activation Laboratories Ltd.;1991;NON;INAA;;;;2.34;;;;;4.2;4.41;;;;;;;;;2.4;;0;60;0;;50;;;0;0;0;0;0;;;;0;;;;0;;;0;0;;;0;510;17;24;;7;1;0.8;;0;;;;;0.4;0.1;5;0;510;;;0;;0;0;;;;0.6;0
339527;1987;;Link;Garde, Adam A.;7;-52.159514;64.669782;GEUS Rock Geochemical lab;;NAF;AAS;;;;;;;;;;4.74;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
339527;1987;;Link;Garde, Adam A.;7;-52.159514;64.669782;GEUS Rock Geochemical lab;;NAF;TIT;;;;;;1.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
339527;1987;;Link;Garde, Adam A.;7;-52.159514;64.669782;GEUS Rock Geochemical lab;;NAF;XRF;72.66;0.2;14.83;;0.85;;0.04;0.59;3.27;;0.76;0.09;;;;;;;;-1;-1;;-1;;-1;;;;;;-1;-1;;-1;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
339527;1987;;Link;Garde, Adam A.;7;-52.159514;64.669782;GEUS Rock Geochemical lab;;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
